TIME,GEO,GEO_LABEL,INDIC_DE,Value,Flag and Footnotes
2008,EU27_2020,Union europ�enne - 27 pays (� partir de 2020),Population au 1er janvier - totale,438725386,b
2008,EU28,Union europ�enne - 28 pays (2013-2020),Population au 1er janvier - totale,500297033,b
2008,EU27_2007,Union europ�enne - 27 pays (2007-2013),Population au 1er janvier - totale,495985066,b
2008,EA19,Zone euro - 19 pays (� partir de 2015),Population au 1er janvier - totale,333096775,b
2008,EA18,Zone euro - 18 pays (2014),Population au 1er janvier - totale,329884170,b
2008,BE,Belgique,Population au 1er janvier - totale,10666866,
2008,BG,Bulgarie,Population au 1er janvier - totale,7518002,
2008,CZ,Tch�quie,Population au 1er janvier - totale,10343422,
2008,DK,Danemark,Population au 1er janvier - totale,5475791,
2008,DE,"Allemagne (jusqu'en 1990, ancien territoire de la RFA)",Population au 1er janvier - totale,82217837,
2008,EE,Estonie,Population au 1er janvier - totale,1338440,
2008,IE,Irlande,Population au 1er janvier - totale,4457765,
2008,EL,Gr�ce,Population au 1er janvier - totale,11060937,
2008,ES,Espagne,Population au 1er janvier - totale,45668939,
2008,FR,France,Population au 1er janvier - totale,64007193,
2008,FX,France (m�tropolitaine),Population au 1er janvier - totale,62134866,
2008,HR,Croatie,Population au 1er janvier - totale,4311967,
2008,IT,Italie,Population au 1er janvier - totale,58652875,
2008,CY,Chypre,Population au 1er janvier - totale,776333,
2008,LV,Lettonie,Population au 1er janvier - totale,2191810,
2008,LT,Lituanie,Population au 1er janvier - totale,3212605,
2008,LU,Luxembourg,Population au 1er janvier - totale,483799,
2008,HU,Hongrie,Population au 1er janvier - totale,10045401,
2008,MT,Malte,Population au 1er janvier - totale,407832,
2008,NL,Pays-Bas,Population au 1er janvier - totale,16405399,
2008,AT,Autriche,Population au 1er janvier - totale,8307989,
2008,PL,Pologne,Population au 1er janvier - totale,38115641,
2008,PT,Portugal,Population au 1er janvier - totale,10553339,
2008,RO,Roumanie,Population au 1er janvier - totale,20635460,
2008,SI,Slov�nie,Population au 1er janvier - totale,2010269,b
2008,SK,Slovaquie,Population au 1er janvier - totale,5376064,
2008,FI,Finlande,Population au 1er janvier - totale,5300484,
2009,EU27_2020,Union europ�enne - 27 pays (� partir de 2020),Population au 1er janvier - totale,440047892,
2009,EU28,Union europ�enne - 28 pays (2013-2020),Population au 1er janvier - totale,502090235,
2009,EU27_2007,Union europ�enne - 27 pays (2007-2013),Population au 1er janvier - totale,497780439,
2009,EA19,Zone euro - 19 pays (� partir de 2015),Population au 1er janvier - totale,334470255,
2009,EA18,Zone euro - 18 pays (2014),Population au 1er janvier - totale,331286399,
2009,BE,Belgique,Population au 1er janvier - totale,10753080,
2009,BG,Bulgarie,Population au 1er janvier - totale,7467119,
2009,CZ,Tch�quie,Population au 1er janvier - totale,10425783,
2009,DK,Danemark,Population au 1er janvier - totale,5511451,
2009,DE,"Allemagne (jusqu'en 1990, ancien territoire de la RFA)",Population au 1er janvier - totale,82002356,
2009,EE,Estonie,Population au 1er janvier - totale,1335740,
2009,IE,Irlande,Population au 1er janvier - totale,4521322,
2009,EL,Gr�ce,Population au 1er janvier - totale,11094745,
2009,ES,Espagne,Population au 1er janvier - totale,46239273,
2009,FR,France,Population au 1er janvier - totale,64350226,
2009,FX,France (m�tropolitaine),Population au 1er janvier - totale,62465709,
2009,HR,Croatie,Population au 1er janvier - totale,4309796,
2009,IT,Italie,Population au 1er janvier - totale,59000586,
2009,CY,Chypre,Population au 1er janvier - totale,796930,
2009,LV,Lettonie,Population au 1er janvier - totale,2162834,
2009,LT,Lituanie,Population au 1er janvier - totale,3183856,
2009,LU,Luxembourg,Population au 1er janvier - totale,493500,
2009,HU,Hongrie,Population au 1er janvier - totale,10030975,
2009,MT,Malte,Population au 1er janvier - totale,410926,
2009,NL,Pays-Bas,Population au 1er janvier - totale,16485787,
2009,AT,Autriche,Population au 1er janvier - totale,8335003,
2009,PL,Pologne,Population au 1er janvier - totale,38135876,
2009,PT,Portugal,Population au 1er janvier - totale,10563014,
2009,RO,Roumanie,Population au 1er janvier - totale,20440290,
2009,SI,Slov�nie,Population au 1er janvier - totale,2032362,
2009,SK,Slovaquie,Population au 1er janvier - totale,5382401,
2009,FI,Finlande,Population au 1er janvier - totale,5326314,
2010,EU27_2020,Union europ�enne - 27 pays (� partir de 2020),Population au 1er janvier - totale,440660421,b
2010,EU28,Union europ�enne - 28 pays (2013-2020),Population au 1er janvier - totale,503170618,b
2010,EU27_2007,Union europ�enne - 27 pays (2007-2013),Population au 1er janvier - totale,498867771,b
2010,EA19,Zone euro - 19 pays (� partir de 2015),Population au 1er janvier - totale,335266424,
2010,EA18,Zone euro - 18 pays (2014),Population au 1er janvier - totale,332124448,
2010,BE,Belgique,Population au 1er janvier - totale,10839905,
2010,BG,Bulgarie,Population au 1er janvier - totale,7421766,
